Original Filename,Processed Filename,Plain Transcription,With Diacritics
200625-215447_yor_874_elicit_0,200625-215447_yor_874_elicit_0_final.wav,"Oh, and you?",ọrọ ìyànjù
200625-215447_yor_874_elicit_1,200625-215447_yor_874_elicit_1_final.wav,"Odo, tù bag bag bi o yi sun re, bi gbe lup man yin bi.",odò to ba gbagbe orisun rẹ gbigbe lo ma ngbe
200625-215447_yor_874_elicit_11,200625-215447_yor_874_elicit_11_final.wav,"Okolopo, orishi-orishi, onje yoribamu parelo, nipataki la arin anwotombe ilunla.",ọpọlọpọ oriṣiriṣi ounjẹ yorùbá nparẹ lọ nípàtàkì larin awọn to ngbe ìlú nla
200625-215447_yor_874_elicit_12,200625-215447_yor_874_elicit_12_final.wav,"Owe yorobane ki agba do to de iliaye adi enje, adi enbun.",òwe yorùbá ni ki àgbàdo to de ilẹ aye adìyẹ njẹ adìyẹ nmu
200625-215447_yor_874_elicit_16,200625-215447_yor_874_elicit_16_final.wav,"Ne opo odun seyin i resi ki ishe onje ojojuman, shuk bonfun an wan omo i balode i resi bure di ati indome.",ni ọpọ ọdun sẹhin irẹsi ki ṣe ounjẹ ojojumọ ṣugbọn fun awọn ọmọ igbalode irẹsi burẹdi ati indomie ti di
200625-215447_yor_874_elicit_20,200625-215447_yor_874_elicit_20_final.wav,Lo,lọ
200625-215447_yor_874_elicit_22,200625-215447_yor_874_elicit_22_final.wav,Acilale,ati lalẹ
200625-215447_yor_874_elicit_25,200625-215447_yor_874_elicit_25_final.wav,Ni toyeyi o pobi kogi ayi lati she unje yuba.,nítorí èyí ọpọ òbí ko ri aye lati se ounjẹ yorùbá
200625-215447_yor_874_elicit_27,200625-215447_yor_874_elicit_27_final.wav,"I alenu niwi kwe okwo anwa, siyo wa loke o kwe unje yoroba la uge ju anwa, siyo wa ne ile lo batake.",ìyàlẹnu ni wipe ọpọ awọn ti ówà lokeokun ngbe ounjẹ yorùbá larugẹ ju awọn ti ówà ni ilé lọ pàtàkì
200625-215447_yor_874_elicit_29,200625-215447_yor_874_elicit_29_final.wav,"O She She, bebi ino mwono mwono, ba She Dede, unja yu ba, yu ba yi store anwa o male She Oishi Oishi.",oṣeṣe pe bi iná manamana ba ṣe dédé ounjẹ yorùbá yio gbayi si nítorí awọn òbì ma le se oriṣiriṣi
